"","name","no_calls","all_calls","missingness_rate","private_variant_count","heterozygous_variant_count","O_HOM","E_HOM","N_SITES","F","perct_het_alt_in_snvs","perct_hom_alt_in_snvs","hom_AA_count","het_RA_count"
"994","HG02583",0,21094461,0,20044,2914791,74770370,75047578.81,77572882,-0.10977,0.663,0.337,54328,106676
"995","HG02585",0,21379761,0,20876,2832100,74746054,75047578.81,77572882,-0.1194,0,1,108677,0
"996","HG02586",0,21948223,0,23167,2920332,74766257,75047578.81,77572882,-0.1114,0.661,0.339,55355,107938
"997","HG02588",0,21726717,0,20506,2836261,74742573,75047578.81,77572882,-0.12078,0,1,106181,0
"998","HG02589",0,22407552,0,20860,2944300,74735611,75047578.81,77572882,-0.12354,0.641,0.359,56613,101271
"999","HG02594",0,23425080,0,23371,2864389,74713922,75047578.81,77572882,-0.13213,0,1,105508,0
"1000","HG02595",0,23332492,0,19926,2918570,74764688,75047578.81,77572882,-0.11202,0.652,0.348,55835,104550
"1001","HG02597",0,21171376,0,10914,2176087,75401048,75047578.81,77572882,0.13997,0,1,77612,0
"1002","HG02600",0,24141063,0,19514,2229436,75347582,75047578.81,77572882,0.1188,0,1,80940,0
"1003","HG02601",0,25747127,0,20749,2306679,75342152,75047578.81,77572882,0.11665,0.62,0.38,44000,71740
"1004","HG02603",0,25740550,0,20143,2196411,75380312,75047578.81,77572882,0.13176,0,1,79162,0
"1005","HG02604",0,21731115,0,16661,2021998,75620888,75047578.81,77572882,0.22703,0.589,0.411,45986,65853
"1006","HG02610",0,21243012,0,14525,2840370,74738212,75047578.81,77572882,-0.12251,0,1,111430,0
"1007","HG02611",0,22616171,0,19127,2880804,74803025,75047578.81,77572882,-0.09684,0.652,0.348,56021,104955
"1008","HG02613",0,20425358,0,20809,2823832,74754717,75047578.81,77572882,-0.11597,0,1,102603,0
"1009","HG02614",0,22311077,0,19208,2945705,74741581,75047578.81,77572882,-0.12117,0.666,0.334,54435,108518
"1010","HG02620",0,22407783,0,20554,2851276,74727438,75047578.81,77572882,-0.12677,0,1,111679,0
"1011","HG02621",0,20817220,0,22598,2965237,74723190,75047578.81,77572882,-0.12846,0.677,0.323,52278,109672
"1012","HG02623",0,22316746,0,19338,2805844,74772380,75047578.81,77572882,-0.10898,0,1,108607,0
"1013","HG02624",0,21476222,0,15047,2945348,74736134,75047578.81,77572882,-0.12333,0.649,0.351,55707,103145
"1014","HG02628",0,23193772,0,19355,2850117,74728196,75047578.81,77572882,-0.12647,0,1,108591,0
"1015","HG02629",0,21511845,0,18977,2976066,74711130,75047578.81,77572882,-0.13323,0.658,0.342,56502,108927
"1016","HG02634",0,22560898,0,21612,2815273,74763252,75047578.81,77572882,-0.11259,0,1,105469,0
"1017","HG02635",0,21401669,0,24396,2935588,74742522,75047578.81,77572882,-0.1208,0.649,0.351,53984,99703
"1018","HG02642",0,22205068,0,15816,2816076,74762152,75047578.81,77572882,-0.11303,0,1,105922,0
"1019","HG02643",0,21101542,0,17791,2933039,74750735,75047578.81,77572882,-0.11755,0.658,0.342,54605,104997
"1020","HG02645",0,21929927,0,20128,2836956,74741489,75047578.81,77572882,-0.12121,0,1,108539,0
"1021","HG02646",0,20656811,0,18207,2941037,74744982,75047578.81,77572882,-0.11983,0.659,0.341,56030,108402
"1022","HG02648",0,23931051,0,15976,2102596,75474978,75047578.81,77572882,0.16925,0,1,78635,0
"1023","HG02649",0,23203269,0,14335,2127100,75511066,75047578.81,77572882,0.18354,0.582,0.418,45450,63233
"1024","HG02651",0,22929819,0,16939,2226176,75351322,75047578.81,77572882,0.12028,0,1,77485,0
"1025","HG02652",0,24095004,0,17428,2316067,75332629,75047578.81,77572882,0.11288,0.632,0.368,41755,71587
"1026","HG02654",0,24929437,0,18493,2218874,75358261,75047578.81,77572882,0.12303,0,1,79863,0
"1027","HG02655",0,24190899,0,16882,2121763,75521013,75047578.81,77572882,0.18748,0.575,0.425,48597,65868
"1028","HG02657",0,24399276,0,16038,2232993,75344162,75047578.81,77572882,0.11744,0,1,78390,0
"1029","HG02658",0,22293549,0,14148,1915057,75691367,75047578.81,77572882,0.25494,0.318,0.682,62968,29391
"1030","HG02660",0,24061065,0,17596,2155681,75422084,75047578.81,77572882,0.1483,0,1,77462,0
"1031","HG02661",0,25878902,0,20024,2306713,75344679,75047578.81,77572882,0.11765,0.639,0.361,42054,74460
"1032","HG02666",0,22303763,0,17664,2837430,74740986,75047578.81,77572882,-0.12141,0,1,106859,0
"1033","HG02667",0,22291688,0,19201,2790399,74889263,75047578.81,77572882,-0.06269,0.642,0.358,56184,100902
"1034","HG02675",0,22031657,0,19020,2831645,74746636,75047578.81,77572882,-0.11917,0,1,106669,0
"1035","HG02676",0,21772898,0,22094,2936656,74746185,75047578.81,77572882,-0.11935,0.643,0.357,57888,104286
"1036","HG02678",0,24317507,0,19805,2684608,74893893,75047578.81,77572882,-0.06086,0,1,107053,0
"1037","HG02679",0,21951135,0,19111,2962503,74724456,75047578.81,77572882,-0.12795,0.675,0.325,52417,108923
"1038","HG02681",0,24555888,0,14619,2214621,75362223,75047578.81,77572882,0.1246,0,1,79511,0
"1039","HG02682",0,24567686,0,14439,2256387,75396162,75047578.81,77572882,0.13804,0.647,0.353,40862,75040
"1040","HG02684",0,27251861,0,12788,1892646,75683839,75047578.81,77572882,0.25195,0,1,78931,0
"1041","HG02685",0,22391490,0,12551,2157671,75487550,75047578.81,77572882,0.17423,0.601,0.399,44691,67294
"1042","HG02687",0,23973903,0,12827,2187898,75389545,75047578.81,77572882,0.13542,0,1,81090,0
"1043","HG02688",0,26106171,0,14638,2262012,75385935,75047578.81,77572882,0.13399,0.623,0.377,42827,70707
"1044","HG02690",0,23369891,0,12723,2044893,75532655,75047578.81,77572882,0.19209,0,1,79726,0
"1045","HG02691",0,24315272,0,12617,2240082,75400691,75047578.81,77572882,0.13983,0.575,0.425,46681,63185
"1046","HG02694",0,19840212,0,8457,2040087,75571682,75047578.81,77572882,0.20754,0.37,0.63,59146,34728
"1047","HG02696",0,24502969,0,20764,2259216,75317885,75047578.81,77572882,0.10704,0,1,77557,0
"1048","HG02697",0,26515355,0,20128,2261043,75381364,75047578.81,77572882,0.13218,0.581,0.419,46881,65026
"1049","HG02699",0,24897002,0,16291,2064026,75513028,75047578.81,77572882,0.18431,0,1,76148,0
"1050","HG02700",0,26403884,0,15512,2285310,75362936,75047578.81,77572882,0.12488,0.631,0.369,41526,70879
"1051","HG02702",0,22027938,0,22168,2829963,74748458,75047578.81,77572882,-0.11845,0,1,103312,0
"1052","HG02703",0,22244394,0,21530,2917104,74763589,75047578.81,77572882,-0.11246,0.641,0.359,57201,102068
"1053","HG02715",0,23546812,0,19934,2852664,74725897,75047578.81,77572882,-0.12738,0,1,106317,0
"1054","HG02716",0,23444331,0,19929,2958547,74728363,75047578.81,77572882,-0.12641,0.668,0.332,53810,108491
"1055","HG02721",0,23252805,0,21589,2838169,74740142,75047578.81,77572882,-0.12174,0,1,107909,0
"1056","HG02722",0,22173321,0,22021,2962323,74717215,75047578.81,77572882,-0.13082,0.635,0.365,58264,101386
