"","name","no_calls","all_calls","missingness_rate","private_variant_count","heterozygous_variant_count","O_HOM","E_HOM","N_SITES","F","perct_het_alt_in_snvs","perct_hom_alt_in_snvs","hom_AA_count","het_RA_count"
"1","HG00096",0,19965380,0,8715,2141604,75435506,75047578.81,77572882,0.15362,0,1,75878,0
"2","HG00097",0,19273491,0,11902,2204010,75436146,75047578.81,77572882,0.15387,0.583,0.417,45165,63034
"3","HG00099",0,21147220,0,11429,2193973,75446759,75047578.81,77572882,0.15807,0.577,0.423,46597,63464
"4","HG00100",0,19709112,0,12832,2205733,75431557,75047578.81,77572882,0.15205,0.565,0.435,45999,59840
"5","HG00101",0,19997113,0,9796,2140293,75436788,75047578.81,77572882,0.15412,0,1,71610,0
"6","HG00102",0,19754140,0,10134,2197479,75448326,75047578.81,77572882,0.15869,0.621,0.379,42045,68827
"7","HG00103",0,18683484,0,9783,2122684,75454228,75047578.81,77572882,0.16103,0,1,75703,0
"8","HG00105",0,19853875,0,10994,2143394,75433837,75047578.81,77572882,0.15296,0,1,76451,0
"9","HG00106",0,20268364,0,11007,2205657,75437158,75047578.81,77572882,0.15427,0.601,0.399,43540,65607
"10","HG00107",0,20058693,0,10122,2115754,75461468,75047578.81,77572882,0.1639,0,1,73295,0
"11","HG00108",0,19004868,0,8031,2124397,75452429,75047578.81,77572882,0.16032,0,1,75402,0
"12","HG00109",0,20759313,0,9862,2150854,75426633,75047578.81,77572882,0.1501,0,1,74036,0
"13","HG00110",0,18336854,0,10421,2126851,75508383,75047578.81,77572882,0.18247,0.561,0.439,45909,58660
"14","HG00111",0,18400818,0,7919,2180068,75466247,75047578.81,77572882,0.16579,0.634,0.366,39993,69140
"15","HG00112",0,19895018,0,6272,2107374,75469458,75047578.81,77572882,0.16706,0,1,74202,0
"16","HG00113",0,19778738,0,11306,2132001,75445109,75047578.81,77572882,0.15742,0,1,75378,0
"17","HG00114",0,21325772,0,6163,2098909,75478564,75047578.81,77572882,0.17067,0,1,75343,0
"18","HG00115",0,19815394,0,10355,2144040,75433604,75047578.81,77572882,0.15286,0,1,74808,0
"19","HG00116",0,19872098,0,7171,2126890,75449667,75047578.81,77572882,0.15922,0,1,76323,0
"20","HG00117",0,20316363,0,9107,2070457,75506395,75047578.81,77572882,0.18169,0,1,74794,0
"21","HG00118",0,19836087,0,12688,2232078,75412678,75047578.81,77572882,0.14458,0.618,0.382,41893,67908
"22","HG00119",0,20035702,0,10158,2125046,75451993,75047578.81,77572882,0.16014,0,1,77328,0
"23","HG00120",0,21229839,0,7240,2200941,75442324,75047578.81,77572882,0.15632,0.613,0.387,41945,66440
"24","HG00121",0,20520575,0,9521,2166260,75470097,75047578.81,77572882,0.16731,0.583,0.417,42700,59771
"25","HG00122",0,19783169,0,10754,2219270,75420225,75047578.81,77572882,0.14756,0.588,0.412,43503,62025
"26","HG00123",0,21104113,0,9683,2226647,75416447,75047578.81,77572882,0.14607,0.613,0.387,41948,66400
"27","HG00125",0,19521987,0,4903,2190598,75452047,75047578.81,77572882,0.16017,0.611,0.389,41579,65307
"28","HG00126",0,19260434,0,11443,2124152,75453325,75047578.81,77572882,0.16067,0,1,75233,0
"29","HG00127",0,20670503,0,8523,2165504,75478203,75047578.81,77572882,0.17052,0.607,0.393,43085,66412
"30","HG00128",0,20187578,0,11276,2190336,75453598,75047578.81,77572882,0.16078,0.602,0.398,43949,66479
"31","HG00129",0,20103996,0,11173,2114516,75462592,75047578.81,77572882,0.16434,0,1,77224,0
"32","HG00130",0,19945909,0,9057,2215837,75425090,75047578.81,77572882,0.14949,0.593,0.407,43868,63892
"33","HG00131",0,20608490,0,9698,2122228,75454421,75047578.81,77572882,0.16111,0,1,77376,0
"34","HG00132",0,19504439,0,12036,2185101,75458151,75047578.81,77572882,0.16258,0.601,0.399,43884,66089
"35","HG00133",0,19465112,0,12967,2223462,75419895,75047578.81,77572882,0.14743,0.611,0.389,42246,66341
"36","HG00136",0,19681617,0,5808,2115996,75460782,75047578.81,77572882,0.16363,0,1,72864,0
"37","HG00137",0,19601216,0,5208,2171688,75465948,75047578.81,77572882,0.16567,0.592,0.408,41984,60909
"38","HG00138",0,21214588,0,7781,2129298,75447753,75047578.81,77572882,0.15847,0,1,72039,0
"39","HG00139",0,18899058,0,13296,2137536,75439551,75047578.81,77572882,0.15522,0,1,73558,0
"40","HG00140",0,19576431,0,12337,2141429,75435600,75047578.81,77572882,0.15365,0,1,72927,0
"41","HG00141",0,22288996,0,14149,2157328,75420055,75047578.81,77572882,0.1475,0,1,76466,0
"42","HG00142",0,22160288,0,6797,2148194,75428974,75047578.81,77572882,0.15103,0,1,74825,0
"43","HG00143",0,19979980,0,11851,2154423,75423323,75047578.81,77572882,0.14879,0,1,76190,0
"44","HG00145",0,19721094,0,11973,2143219,75433826,75047578.81,77572882,0.15295,0,1,72620,0
"45","HG00146",0,21543381,0,7696,2200435,75443267,75047578.81,77572882,0.15669,0.609,0.391,42890,66761
"46","HG00148",0,21520015,0,12745,2152664,75424703,75047578.81,77572882,0.14934,0,1,75676,0
"47","HG00149",0,20119787,0,11382,2140822,75436384,75047578.81,77572882,0.15396,0,1,78329,0
"48","HG00150",0,19428129,0,7076,2200633,75443546,75047578.81,77572882,0.1568,0.608,0.392,43300,67039
"49","HG00151",0,20028551,0,6625,2099886,75477044,75047578.81,77572882,0.17006,0,1,75330,0
"50","HG00154",0,28979782,0,7994,2166774,75467977,75047578.81,77572882,0.16647,0.558,0.442,46645,58772
"51","HG00155",0,20600805,0,9786,2134858,75442158,75047578.81,77572882,0.15625,0,1,73463,0
"52","HG00157",0,20681234,0,9499,2149244,75427634,75047578.81,77572882,0.1505,0,1,74493,0
"53","HG00158",0,20546835,0,7678,2222122,75420402,75047578.81,77572882,0.14764,0.607,0.393,42810,66069
"54","HG00159",0,19500772,0,9115,2131206,75445027,75047578.81,77572882,0.15739,0,1,77962,0
"55","HG00160",0,19930842,0,8709,2116092,75460752,75047578.81,77572882,0.16361,0,1,74583,0
"56","HG00171",0,20337665,0,3971,2176450,75464589,75047578.81,77572882,0.16513,0.604,0.396,42321,64639
"57","HG00173",0,19926071,0,5086,2186076,75453389,75047578.81,77572882,0.1607,0.592,0.408,43211,62756
"58","HG00174",0,19441026,0,5113,2200761,75441044,75047578.81,77572882,0.15581,0.602,0.398,42652,64424
"59","HG00176",0,19775821,0,8751,2221619,75426928,75047578.81,77572882,0.15022,0.623,0.377,43182,71384
"60","HG00177",0,20913031,0,4661,2144120,75496463,75047578.81,77572882,0.17775,0.593,0.407,43673,63537
"61","HG00178",0,19467884,0,8534,2199605,75441726,75047578.81,77572882,0.15608,0.602,0.398,42160,63806
"62","HG00179",0,20454196,0,5080,2202302,75437696,75047578.81,77572882,0.15448,0.592,0.408,43400,62927
"63","HG00180",0,22190733,0,4867,2172573,75462238,75047578.81,77572882,0.1642,0.558,0.442,45755,57871
"64","HG00181",0,20038060,0,11643,2184324,75393221,75047578.81,77572882,0.13687,0,1,73431,0
"65","HG00182",0,22264229,0,5353,2141740,75435072,75047578.81,77572882,0.15344,0,1,75941,0
"66","HG00183",0,21349073,0,5104,2119691,75456688,75047578.81,77572882,0.162,0,1,76495,0
"67","HG00185",0,20992562,0,8309,2150615,75426266,75047578.81,77572882,0.14996,0,1,75134,0
"68","HG00186",0,22111934,0,4245,2113315,75463766,75047578.81,77572882,0.16481,0,1,75679,0
"69","HG00187",0,22681856,0,4058,2127904,75448808,75047578.81,77572882,0.15888,0,1,74947,0
"70","HG00188",0,20769481,0,8488,2128687,75448049,75047578.81,77572882,0.15858,0,1,73836,0
"71","HG00189",0,21923872,0,5903,2130429,75447010,75047578.81,77572882,0.15817,0,1,75329,0
"72","HG00190",0,20901084,0,4608,2131470,75446039,75047578.81,77572882,0.15779,0,1,73872,0
"73","HG00231",0,18838859,0,9553,2196769,75445586,75047578.81,77572882,0.15761,0.609,0.391,41859,65211
"74","HG00232",0,20202907,0,6077,2183838,75460635,75047578.81,77572882,0.16357,0.617,0.383,41537,66895
"75","HG00233",0,19520559,0,8813,2206023,75433136,75047578.81,77572882,0.15268,0.576,0.424,46020,62427
"76","HG00234",0,19546186,0,10823,2133910,75443051,75047578.81,77572882,0.1566,0,1,71802,0
"77","HG00235",0,20014248,0,10902,2182663,75456221,75047578.81,77572882,0.16182,0.587,0.413,43497,61765
"78","HG00236",0,19330966,0,13410,2192797,75454288,75047578.81,77572882,0.16105,0.624,0.376,42172,69986
"79","HG00237",0,20547972,0,12265,2210408,75431081,75047578.81,77572882,0.15186,0.605,0.395,41994,64403
"80","HG00238",0,20027775,0,8928,2210537,75431606,75047578.81,77572882,0.15207,0.621,0.379,39640,65056
"81","HG00239",0,20213238,0,12038,2196641,75447960,75047578.81,77572882,0.15855,0.622,0.378,40882,67309
"82","HG00240",0,19422987,0,10324,2212459,75434910,75047578.81,77572882,0.15338,0.623,0.377,42416,70104
"83","HG00242",0,19932740,0,8919,2145297,75432419,75047578.81,77572882,0.15239,0,1,74343,0
"84","HG00243",0,20155205,0,12477,2151684,75425180,75047578.81,77572882,0.14953,0,1,73269,0
"85","HG00244",0,22516665,0,12448,2150095,75426848,75047578.81,77572882,0.15019,0,1,74291,0
"86","HG00245",0,20248812,0,7314,2202685,75438347,75047578.81,77572882,0.15474,0.599,0.401,42611,63683
"87","HG00246",0,19648403,0,6936,2144430,75431532,75047578.81,77572882,0.15204,0,1,77671,0
"88","HG00250",0,21044873,0,14136,2204696,75437529,75047578.81,77572882,0.15442,0.596,0.404,44165,65049
"89","HG00251",0,20593416,0,13827,2159172,75417974,75047578.81,77572882,0.14667,0,1,74846,0
"90","HG00252",0,20363404,0,12684,2109436,75467585,75047578.81,77572882,0.16632,0,1,71638,0
"91","HG00253",0,20326358,0,12200,2223087,75423153,75047578.81,77572882,0.14872,0.635,0.365,40112,69657
"92","HG00254",0,19770616,0,11040,2210346,75428434,75047578.81,77572882,0.15082,0.591,0.409,43169,62397
"93","HG00255",0,20250801,0,13529,2197220,75445989,75047578.81,77572882,0.15777,0.599,0.401,44352,66240
"94","HG00256",0,19546221,0,13068,2131622,75445496,75047578.81,77572882,0.15757,0,1,74599,0
"95","HG00257",0,21360828,0,12465,2212133,75426016,75047578.81,77572882,0.14986,0.577,0.423,44609,60876
"96","HG00258",0,21155309,0,13597,2223773,75414701,75047578.81,77572882,0.14538,0.581,0.419,44496,61750
"97","HG00259",0,19892187,0,13245,2232150,75407150,75047578.81,77572882,0.14239,0.587,0.413,43650,62058
"98","HG00260",0,20328946,0,12800,2119197,75458094,75047578.81,77572882,0.16256,0,1,75350,0
"99","HG00261",0,19861017,0,12487,2189537,75453956,75047578.81,77572882,0.16092,0.602,0.398,43809,66155
"100","HG00262",0,18547807,0,8974,2198993,75436645,75047578.81,77572882,0.15407,0.575,0.425,43406,58740
"101","HG00263",0,19182191,0,8439,2189947,75452761,75047578.81,77572882,0.16045,0.608,0.392,42322,65517
"102","HG00264",0,20278289,0,9122,2133786,75443380,75047578.81,77572882,0.15673,0,1,73838,0
"103","HG00265",0,18902782,0,8193,2111852,75465242,75047578.81,77572882,0.16539,0,1,75388,0
"104","HG00266",0,24699077,0,5278,2202408,75435637,75047578.81,77572882,0.15367,0.587,0.413,43005,61177
"105","HG00267",0,19414594,0,5193,2115070,75461612,75047578.81,77572882,0.16395,0,1,74859,0
"106","HG00268",0,19966372,0,9366,2205231,75439607,75047578.81,77572882,0.15524,0.631,0.369,39446,67429
"107","HG00269",0,20342846,0,4263,2165850,75473921,75047578.81,77572882,0.16883,0.585,0.415,44410,62596
"108","HG00271",0,19780800,0,7615,2156609,75420550,75047578.81,77572882,0.14769,0,1,80180,0
"109","HG00272",0,20067860,0,3868,2166835,75480220,75047578.81,77572882,0.17132,0.623,0.377,42344,69987
"110","HG00273",0,20049444,0,9323,2133430,75443857,75047578.81,77572882,0.15692,0,1,76705,0
"111","HG00274",0,19454296,0,4757,2178369,75463378,75047578.81,77572882,0.16465,0.594,0.406,44012,64383
"112","HG00275",0,21407334,0,5723,2188391,75454971,75047578.81,77572882,0.16132,0.604,0.396,43386,66131
"113","HG00276",0,20281508,0,5194,2178932,75465220,75047578.81,77572882,0.16538,0.616,0.384,41806,67008
"114","HG00277",0,20403755,0,6685,2112012,75465433,75047578.81,77572882,0.16547,0,1,72998,0
"115","HG00278",0,21873839,0,4315,2114044,75463243,75047578.81,77572882,0.1646,0,1,73359,0
"116","HG00280",0,21900569,0,4923,2119442,75457360,75047578.81,77572882,0.16227,0,1,78216,0
"117","HG00281",0,19841503,0,5709,2194936,75446111,75047578.81,77572882,0.15782,0.595,0.405,43708,64220
"118","HG00282",0,20332570,0,4501,2205008,75435053,75047578.81,77572882,0.15344,0.587,0.413,44603,63436
"119","HG00284",0,19929533,0,5345,2132530,75444572,75047578.81,77572882,0.15721,0,1,76087,0
"120","HG00285",0,19687018,0,4585,2141838,75496420,75047578.81,77572882,0.17774,0.583,0.417,43660,60956
"121","HG00288",0,19535452,0,8986,2194569,75448392,75047578.81,77572882,0.15872,0.596,0.404,44664,65917
"122","HG00290",0,21428459,0,9281,2121703,75455728,75047578.81,77572882,0.16162,0,1,74305,0
"123","HG00304",0,20385989,0,5146,2198514,75444307,75047578.81,77572882,0.1571,0.613,0.387,42242,66969
"124","HG00306",0,20461086,0,5074,2187751,75454674,75047578.81,77572882,0.16121,0.61,0.39,41477,64971
"125","HG00308",0,19543415,0,4344,2105417,75471426,75047578.81,77572882,0.16784,0,1,76406,0
"126","HG00309",0,19992341,0,8748,2210295,75430878,75047578.81,77572882,0.15178,0.588,0.412,45128,64289
"127","HG00310",0,21601056,0,6256,2129664,75447519,75047578.81,77572882,0.15837,0,1,75720,0
"128","HG00311",0,19983054,0,4680,2108409,75468696,75047578.81,77572882,0.16676,0,1,72507,0
"129","HG00313",0,20796381,0,3774,2169420,75466358,75047578.81,77572882,0.16583,0.561,0.439,45790,58509
"130","HG00315",0,19905420,0,3843,2177542,75460089,75047578.81,77572882,0.16335,0.575,0.425,44847,60569
"131","HG00318",0,19653792,0,4428,2170668,75472480,75047578.81,77572882,0.16826,0.608,0.392,42784,66250
"132","HG00319",0,20878150,0,4165,2198061,75446447,75047578.81,77572882,0.15795,0.61,0.39,43079,67463
"133","HG00320",0,19494359,0,4730,2143509,75501894,75047578.81,77572882,0.17991,0.619,0.381,41919,68179
"134","HG00321",0,21276332,0,5436,2103109,75474117,75047578.81,77572882,0.16891,0,1,75437,0
"135","HG00323",0,19619681,0,3504,2180904,75464094,75047578.81,77572882,0.16494,0.621,0.379,41789,68369
"136","HG00324",0,20277739,0,5228,2130965,75511820,75047578.81,77572882,0.18384,0.604,0.396,43275,66063
"137","HG00325",0,19627063,0,5535,2091596,75485424,75047578.81,77572882,0.17338,0,1,73282,0
"138","HG00326",0,19945475,0,5563,2184214,75453913,75047578.81,77572882,0.16091,0.57,0.43,46300,61489
"139","HG00327",0,21200844,0,4421,2165167,75478254,75047578.81,77572882,0.17054,0.597,0.403,44462,65991
"140","HG00328",0,19272770,0,5899,2164475,75477958,75047578.81,77572882,0.17043,0.595,0.405,44144,64961
"141","HG00329",0,20418924,0,6208,2139590,75437508,75047578.81,77572882,0.15441,0,1,76441,0
"142","HG00330",0,19236399,0,5678,2202155,75439384,75047578.81,77572882,0.15515,0.597,0.403,43314,64173
"143","HG00331",0,19328273,0,6477,2197949,75442953,75047578.81,77572882,0.15657,0.597,0.403,43456,64354
"144","HG00332",0,19126894,0,8169,2214220,75431747,75047578.81,77572882,0.15213,0.621,0.379,41827,68600
"145","HG00334",0,20376882,0,7197,2196485,75448662,75047578.81,77572882,0.15883,0.614,0.386,43083,68605
"146","HG00335",0,21778306,0,9570,2149575,75427627,75047578.81,77572882,0.1505,0,1,74536,0
"147","HG00336",0,19116783,0,4792,2138489,75438380,75047578.81,77572882,0.15475,0,1,77818,0
"148","HG00337",0,20304020,0,10798,2218657,75427122,75047578.81,77572882,0.1503,0.621,0.379,41754,68293
"149","HG00338",0,20501199,0,3622,2118200,75459025,75047578.81,77572882,0.16293,0,1,75215,0
"150","HG00339",0,19676187,0,4375,2179057,75460756,75047578.81,77572882,0.16361,0.599,0.401,42166,63103
"151","HG00341",0,22717665,0,12038,2128135,75449426,75047578.81,77572882,0.15913,0,1,74778,0
"152","HG00342",0,22507601,0,6691,2118968,75458222,75047578.81,77572882,0.16261,0,1,74375,0
"153","HG00343",0,19796740,0,4351,2192530,75443812,75047578.81,77572882,0.15691,0.563,0.437,45737,58841
"154","HG00344",0,19814804,0,4691,2184630,75458430,75047578.81,77572882,0.16269,0.609,0.391,42444,66232
"155","HG00345",0,21485864,0,9258,2145651,75431186,75047578.81,77572882,0.15191,0,1,79534,0
"156","HG00346",0,22014671,0,9454,2146684,75495444,75047578.81,77572882,0.17735,0.6,0.4,43351,64951
"157","HG00349",0,19483425,0,7162,2178153,75465946,75047578.81,77572882,0.16567,0.619,0.381,41569,67559
"158","HG00350",0,20299430,0,8567,2188726,75449670,75047578.81,77572882,0.15922,0.576,0.424,44720,60836
"159","HG00351",0,23462765,0,5252,2123682,75453244,75047578.81,77572882,0.16064,0,1,76058,0
"160","HG00353",0,21325461,0,10405,2205079,75438496,75047578.81,77572882,0.1548,0.621,0.379,40470,66380
"161","HG00355",0,20489729,0,7726,2190158,75449054,75047578.81,77572882,0.15898,0.582,0.418,44894,62471
"162","HG00356",0,19986181,0,8786,2185264,75455087,75047578.81,77572882,0.16137,0.595,0.405,43395,63655
"163","HG00357",0,20069902,0,4318,2150249,75485627,75047578.81,77572882,0.17346,0.568,0.432,44622,58636
"164","HG00358",0,20968320,0,6510,2110206,75466910,75047578.81,77572882,0.16605,0,1,74130,0
"165","HG00360",0,22256682,0,9430,2134293,75443267,75047578.81,77572882,0.15669,0,1,75473,0
"166","HG00361",0,32105520,0,6045,2144192,75450563,75047578.81,77572882,0.15958,0.237,0.763,66061,20521
"167","HG00362",0,18977100,0,8495,2188269,75450928,75047578.81,77572882,0.15972,0.589,0.411,43238,61961
"168","HG00364",0,19442307,0,8227,2183788,75456383,75047578.81,77572882,0.16188,0.602,0.398,41775,63216
"169","HG00365",0,24491997,0,7288,2217769,75421295,75047578.81,77572882,0.14799,0.577,0.423,45268,61644
"170","HG00366",0,19882767,0,4396,2114937,75462215,75047578.81,77572882,0.16419,0,1,71824,0
"171","HG00367",0,20033939,0,4194,2199275,75442285,75047578.81,77572882,0.1563,0.604,0.396,42528,64742
"172","HG00368",0,19883887,0,6607,2200075,75443366,75047578.81,77572882,0.15673,0.609,0.391,42740,66653
"173","HG00369",0,20949864,0,4662,2131341,75445993,75047578.81,77572882,0.15777,0,1,77108,0
"174","HG00371",0,23159466,0,7813,2117247,75459727,75047578.81,77572882,0.16321,0,1,73037,0
"175","HG00372",0,21339816,0,4312,2100804,75476004,75047578.81,77572882,0.16965,0,1,75662,0
"176","HG00373",0,19281877,0,3812,2162116,75479145,75047578.81,77572882,0.1709,0.604,0.396,42330,64618
"177","HG00375",0,19692367,0,4492,2113342,75463734,75047578.81,77572882,0.16479,0,1,74569,0
"178","HG00376",0,19556185,0,8649,2191436,75452051,75047578.81,77572882,0.16017,0.608,0.392,42751,66442
"179","HG00378",0,20442636,0,8711,2185603,75457315,75047578.81,77572882,0.16225,0.601,0.399,43452,65322
"180","HG00379",0,19795963,0,7707,2172010,75469561,75047578.81,77572882,0.1671,0.593,0.407,43977,64144
"181","HG00380",0,20501805,0,5737,2208967,75432540,75047578.81,77572882,0.15244,0.602,0.398,42618,64429
"182","HG00381",0,19222927,0,7649,2167458,75472915,75047578.81,77572882,0.16843,0.602,0.398,41983,63555
"183","HG00382",0,20637352,0,6943,2120585,75456729,75047578.81,77572882,0.16202,0,1,74392,0
"184","HG00383",0,20425711,0,7500,2168376,75470715,75047578.81,77572882,0.16756,0.588,0.412,43264,61854
"185","HG00384",0,19818235,0,8003,2182938,75461693,75047578.81,77572882,0.16399,0.629,0.371,39805,67517
"186","HG00403",0,20760681,0,6597,1991198,75585797,75047578.81,77572882,0.21313,0,1,77771,0
"187","HG00404",0,19754655,0,12192,2052868,75584956,75047578.81,77572882,0.2128,0.559,0.441,48065,60831
"188","HG00406",0,21108692,0,16026,2002117,75575072,75047578.81,77572882,0.20888,0,1,80595,0
"189","HG00407",0,20142427,0,18636,2078347,75560878,75047578.81,77572882,0.20326,0.556,0.444,49769,62268
"190","HG00409",0,19647776,0,20944,1999929,75576764,75047578.81,77572882,0.20955,0,1,79276,0
"191","HG00410",0,20500833,0,20798,2091095,75543983,75047578.81,77572882,0.19657,0.536,0.464,51170,59029
"192","HG00419",0,20703541,0,22407,2076723,75559146,75047578.81,77572882,0.20258,0.555,0.445,47602,59369
"193","HG00421",0,21362286,0,19501,1975664,75601016,75047578.81,77572882,0.21916,0,1,80014,0
"194","HG00422",0,19347259,0,21708,2054320,75577861,75047578.81,77572882,0.20999,0.521,0.479,50882,55243
"195","HG00428",0,20484123,0,22306,2053318,75581139,75047578.81,77572882,0.21129,0.538,0.462,49222,57399
"196","HG00436",0,19856774,0,7985,1982350,75594265,75047578.81,77572882,0.21648,0,1,78966,0
"197","HG00437",0,19778605,0,21710,2074710,75562149,75047578.81,77572882,0.20377,0.543,0.457,50313,59782
"198","HG00442",0,20127803,0,20977,2002010,75574712,75047578.81,77572882,0.20874,0,1,78896,0
"199","HG00443",0,19889510,0,19957,2074532,75561530,75047578.81,77572882,0.20352,0.542,0.458,50196,59511
"200","HG00445",0,19464305,0,19442,2023497,75553860,75047578.81,77572882,0.20048,0,1,78766,0
"201","HG00446",0,19868144,0,19659,2062913,75572429,75047578.81,77572882,0.20784,0.546,0.454,48611,58575
"202","HG00448",0,18798703,0,19106,2002663,75573982,75047578.81,77572882,0.20845,0,1,77646,0
"203","HG00449",0,19228175,0,13097,2043544,75591511,75047578.81,77572882,0.21539,0.542,0.458,49097,58019
"204","HG00451",0,19705575,0,17930,1984898,75591704,75047578.81,77572882,0.21547,0,1,80850,0
"205","HG00452",0,23467196,0,19666,2071412,75561513,75047578.81,77572882,0.20351,0.52,0.48,51561,55887
"206","HG00457",0,20756668,0,17140,2015983,75560988,75047578.81,77572882,0.20331,0,1,80524,0
"207","HG00458",0,20698658,0,19942,2066905,75569329,75047578.81,77572882,0.20661,0.543,0.457,50099,59484
"208","HG00463",0,22096642,0,13262,1981122,75596038,75047578.81,77572882,0.21719,0,1,77957,0
"209","HG00464",0,19812946,0,14977,2050284,75583747,75047578.81,77572882,0.21232,0.533,0.467,50125,57271
"210","HG00472",0,19786617,0,21060,2009640,75567064,75047578.81,77572882,0.20571,0,1,78820,0
"211","HG00473",0,20883483,0,21135,2083822,75552937,75047578.81,77572882,0.20012,0.54,0.46,50762,59509
"212","HG00475",0,21644236,0,17960,2010307,75566389,75047578.81,77572882,0.20544,0,1,77669,0
"213","HG00476",0,20308178,0,20280,2054310,75585027,75047578.81,77572882,0.21283,0.567,0.433,47683,62535
"214","HG00478",0,22631450,0,19367,1987952,75589175,75047578.81,77572882,0.21447,0,1,77889,0
"215","HG00479",0,21176717,0,21648,2077805,75559851,75047578.81,77572882,0.20286,0.553,0.447,49222,60927
"216","HG00500",0,22422939,0,12455,1984506,75592269,75047578.81,77572882,0.21569,0,1,78272,0
"217","HG00513",0,20670884,0,9870,2024205,75613093,75047578.81,77572882,0.22394,0.55,0.45,49313,60264
"218","HG00524",0,20547777,0,10567,2008035,75568540,75047578.81,77572882,0.2063,0,1,79657,0
"219","HG00525",0,19123804,0,22182,2042848,75594321,75047578.81,77572882,0.21651,0.549,0.451,49604,60480
"220","HG00530",0,19367208,0,8104,1963442,75613612,75047578.81,77572882,0.22414,0,1,77392,0
"221","HG00531",0,19522587,0,8981,2025951,75607753,75047578.81,77572882,0.22182,0.535,0.465,49105,56507
"222","HG00533",0,20938542,0,12965,1975540,75601480,75047578.81,77572882,0.21934,0,1,80861,0
"223","HG00534",0,19444809,0,13701,2070860,75563570,75047578.81,77572882,0.20433,0.532,0.468,50853,57730
"224","HG00536",0,20329995,0,20650,2006717,75570717,75047578.81,77572882,0.20716,0,1,80811,0
"225","HG00537",0,20402200,0,11734,2039350,75594823,75047578.81,77572882,0.2167,0.522,0.478,52298,57073
"226","HG00542",0,19544487,0,7494,1971274,75605854,75047578.81,77572882,0.22107,0,1,77823,0
"227","HG00543",0,20647618,0,21274,2082528,75558940,75047578.81,77572882,0.20249,0.573,0.427,48542,65018
"228","HG00551",0,20024316,0,9601,2366616,75304217,75047578.81,77572882,0.10163,0.691,0.309,41850,93470
"229","HG00553",0,21331355,0,5674,2399013,75178009,75047578.81,77572882,0.05165,0,1,77337,0
"230","HG00554",0,19569365,0,7985,2337645,75298178,75047578.81,77572882,0.09924,0.55,0.45,48027,58648
"231","HG00556",0,19705221,0,20197,1997927,75579248,75047578.81,77572882,0.21054,0,1,80757,0
"232","HG00557",0,21770603,0,20931,2071174,75567334,75047578.81,77572882,0.20582,0.565,0.435,47633,61933
"233","HG00559",0,20768665,0,12813,1975084,75601312,75047578.81,77572882,0.21927,0,1,78084,0
"234","HG00560",0,19680131,0,10330,2047580,75587095,75047578.81,77572882,0.21364,0.533,0.467,50627,57750
"235","HG00565",0,19623255,0,10019,1993194,75583285,75047578.81,77572882,0.21214,0,1,76717,0
"236","HG00566",0,21430388,0,10872,2018552,75612527,75047578.81,77572882,0.22371,0.512,0.488,51572,54075
"237","HG00580",0,20588553,0,11958,1986177,75590428,75047578.81,77572882,0.21496,0,1,79643,0
"238","HG00581",0,19810385,0,13664,2045994,75593814,75047578.81,77572882,0.2163,0.574,0.426,46472,62631
"239","HG00583",0,18638949,0,13526,1994762,75582343,75047578.81,77572882,0.21176,0,1,80348,0
"240","HG00584",0,20975972,0,12236,2065451,75569448,75047578.81,77572882,0.20666,0.553,0.447,47456,58636
"241","HG00589",0,20647225,0,12230,1958282,75618278,75047578.81,77572882,0.22599,0,1,79963,0
"242","HG00590",0,20522932,0,10356,2050894,75587060,75047578.81,77572882,0.21363,0.563,0.437,47248,60944
"243","HG00592",0,21172445,0,10812,1984381,75592022,75047578.81,77572882,0.2156,0,1,76702,0
"244","HG00593",0,21706828,0,18859,2059792,75578321,75047578.81,77572882,0.21017,0.556,0.444,49019,61364
"245","HG00595",0,19915899,0,11211,1984870,75591751,75047578.81,77572882,0.21549,0,1,79433,0
"246","HG00596",0,19233179,0,7680,2008638,75626304,75047578.81,77572882,0.22917,0.541,0.459,49439,58165
"247","HG00598",0,19874242,0,19787,2007073,75569886,75047578.81,77572882,0.20683,0,1,79966,0
"248","HG00599",0,22128170,0,22679,2070703,75565711,75047578.81,77572882,0.20518,0.543,0.457,50070,59399
"249","HG00607",0,20890495,0,8924,1972778,75604421,75047578.81,77572882,0.22051,0,1,77206,0
"250","HG00608",0,20129025,0,11230,2039970,75597102,75047578.81,77572882,0.21761,0.555,0.445,48371,60331
"251","HG00610",0,21212315,0,9976,1974871,75602255,75047578.81,77572882,0.21965,0,1,78981,0
"252","HG00611",0,18837170,0,8422,2020251,75614365,75047578.81,77572882,0.22444,0.541,0.459,49352,58145
"253","HG00613",0,19372284,0,13033,2000167,75577022,75047578.81,77572882,0.20966,0,1,78418,0
"254","HG00614",0,19840503,0,10752,2053355,75578889,75047578.81,77572882,0.21039,0.521,0.479,50831,55267
"255","HG00619",0,18988755,0,11763,1960185,75616278,75047578.81,77572882,0.2252,0,1,79779,0
"256","HG00620",0,19791058,0,10489,2031941,75606445,75047578.81,77572882,0.22131,0.562,0.438,47984,61466
"257","HG00622",0,21908816,0,20226,2023694,75553120,75047578.81,77572882,0.20019,0,1,77951,0
"258","HG00623",0,22186901,0,21067,2057450,75583166,75047578.81,77572882,0.21209,0.578,0.422,46830,64173
